Tournament,Stage,Match Type,Map,Team,Agent,Total Wins By Map,Total Loss By Map,Total Maps Played
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Team Heretics,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Team Heretics,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Team Heretics,skye,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Grand Final,Split,Team Heretics,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,Paper Rex,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,Paper Rex,skye,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,Paper Rex,reyna,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,Paper Rex,harbor,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,Paper Rex,brimstone,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,EDward Gaming,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,EDward Gaming,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,EDward Gaming,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,EDward Gaming,skye,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Bind,EDward Gaming,gekko,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,Paper Rex,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,Paper Rex,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,Paper Rex,gekko,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,Paper Rex,breach,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,Paper Rex,sage,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,EDward Gaming,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,EDward Gaming,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,EDward Gaming,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,EDward Gaming,cypher,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Sunset,EDward Gaming,gekko,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FUT Esports,omen,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FUT Esports,raze,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FUT Esports,viper,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FUT Esports,skye,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FUT Esports,chamber,0,1,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FNATIC,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FNATIC,raze,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FNATIC,cypher,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FNATIC,breach,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Split,FNATIC,yoru,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Lotus,FUT Esports,omen,1,0,1
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 1,Lotus,FUT Esports,viper,1,0,1
